ccode,period,Year,hc,rgdpo,KOF_econ,KOF_defacto,KOF_dejure,KOF_trade,KOF_trade_df,KOF_trade_dj,KOF_finance,KOF_finance_df,KOF_finance_dj,inflation,Trade_to_GDP,population,CTS,Lietal,Alcala,Frankel,LMF_open,LMF_open_pv,LMF_EQ,LMF_FDI_in,LMF_in_GDP,LMF_FDI_out,LMF_out_GDP,LMF_FDI_total_stocks_GDP,UNC_in_GDP,UNC_out_GDP,UNC_FDI_out,UNC_FDI_in,UNC_FDI_total_stocks_GDP,FTI_Index,FTI_Index_ipo,FTI_trade,FTI_trade_ipo,ln_FTI_Index_ipo,Tariff_WITS,Tariff_WITS_ipo,HF_trade,KAOPEN,HF_fin,CAPITAL,TOI,EXP_to_GDP,IMP_to_GDP,Tariff_RES,FIN_CUR,KA_Index,Penn_GDP_PPP,Penn_GDP_PPP_log,pop_log,GDP_pc_growth,pop_growth,inv_share,first_year,initial_GDP_pc
AGO,"(1985,1990]",1988,1.11806089878082,29590.31875,35.9335472106934,39.2693649291992,32.597730255127,38.4740455627441,33.7518920898438,43.1961990356445,33.3930477142334,44.7868370056152,21.9992610931397,,75.6985317914463,11530390.2,12.3537364658556,0.294758637808128,170013.783304137,-36.853042134,152.54018708,,1,850.70413784,9.5002744682,0,0,10.8814018226,12.2400491706,0.008009772,0.9,1096.05,10.22815228,,,0,0,,,,,,,,10.2138398204,43.333334352,43.333334352,,,,2.56443926039784e-06,-12.8744005249582,16.2597691089739,-1.67950936497498,2.74771299068156,18.3788055181503,1986,2.47789183733193e-06
AGO,"(1990,1995]",1993,1.18377380371094,27667.75234375,49.4561470031738,65.1680610656738,33.7442291259766,53.6329811096191,64.0780906677246,43.1878692626953,45.2793113708496,66.2580345153809,24.3005886077881,1076.537273666,84.8370927318296,13407164,21.5775524351937,0.597549081231008,249188.461748563,21.910059758,267.77908938,278.6977539,1,1756.5960398,28.621992302,0,0,32.630942536,36.869388964,0.0196118178,1.2512,2262.79,42.056438638,,,0,0,,,,25,1,30,,7.7764222604,58.373419765,57.328437805,,,0,2.06899094011379e-06,-13.0917275076358,16.4102677184767,-8.05424469532976,3.17993251100361,48.6334502696991,1991,2.09536261870844e-06
AGO,"(1995,2000]",1998,1.26370043754578,34349.638671875,57.5136940002442,77.2816207885742,37.7457710266113,60.9287292480469,77.7390335083008,44.1184265136719,54.0986610412598,76.8242050170898,31.3731170654297,1008.95239274,152.547109454858,15533254.6,29.1915810085088,0.712302782233691,317224.739974501,45.47999408,209.85097962,173.65205382,1.0465082236,4086.0639612,56.99475174,0,0,56.1547081,73.417888636,,,5263.4806,,,,0,0,,,,25,17.56970406,30,,8.791842976,76.77234497,73.447805784,76.25,,6.6666641232,2.21722145132041e-06,-13.024149706816,16.5576990891102,0.673288251140995,2.83369321943624,54.7935038805008,1996,2.32645146312045e-06
AGO,"(2000,2005]",2003,1.331991314888,48755.0765625,56.6461357116699,76.9782653808594,36.3140083312988,59.9544189453125,79.6315933227539,40.2772430419922,53.3378578186035,74.3249420166016,32.3507762908936,85.237573598,133.960392314415,18235508.4,38.6607263330028,0.603264521711918,440411.419346369,33.961375328,164.0138672,126.759927372,2.1250241368,10925.1591166,71.501210024,20.1228,0.1208291246,71.622074128,172.27407226,0.27699115675,40.8945,29405.7151,187.3000354675,6.218265535,62.18265533,1.241703505,1.241703505,4.130075932,,,,17.56970406,,,13.622759106,73.674725342,60.285617828,87.939997864,,6.6666641232,2.64933392456906e-06,-12.859301854018,16.7176366504616,13.4001238103849,3.46663422252085,28.5071611404419,2001,2.13735322059079e-06
AGO,"(2005,2010]",2008,1.39234426021576,116328.5234375,51.5363327026367,69.8172790527344,33.2553825378418,56.6628799438477,73.9657867431641,39.3599754333496,46.4097839355469,65.6687774658203,27.1507888793945,13.245526926,115.875375951937,21787636.8,70.2307055003718,0.465296205570323,679437.10366603,15.8895042486,110.645282,74.201050574,9.1252666476,24288.904032,34.225115014,2756.9722768,3.5580962538,37.78321686,64.757730866,3.5580962538,2756.9722768,41785.458882,68.315839386,5.8568825754,58.568826296,5.8350410878,5.8350410878,4.0671119216,91.784805295,91.784805295,71.28,4.313940812,25,,15.959618124,69.47366028,46.41581955,,,,5.32075119404078e-06,-12.1506395038103,16.8955819377608,10.3555674565242,3.56621319761402,28.6207711696625,2006,4.6337291428325e-06
AGO,"(2010,2015]",2013,1.43487933278084,197955.84375,47.1263824462891,64.9180877685547,29.3346755981445,50.5570487976074,64.974861907959,36.139241027832,43.6957122802734,64.8613128662109,22.5301128387451,10.0190977748,93.2993064660032,26018565.2,59.3755299466097,0.402597379265954,587528.931605221,-6.937605586,130.6040512,76.52662913,9.3871811862,30830.75714,27.449118042,14865.8975708,12.9367496476,40.384006502,27.449118042,12.9367496476,14865.8975708,30830.75714,40.384007264,5.7107779586,57.107779692,5.4191018612,5.4191018612,4.0412627698,90.557235718,90.557235718,69.18,1,37,,12.9269231,53.056160736,39.927362824,,,,7.73492755152452e-06,-11.7705492604119,17.0730946504884,6.59145258760918,3.51502116892398,31.0325592756271,2011,7.26219676413528e-06
AGO,"(2015,2020]",2016,,,40.1656951904297,54.479305267334,25.8520984649658,35.2935104370117,39.6723403930664,30.9146785736084,45.0378952026367,69.2862701416016,20.7895183563232,34.7361593,59.4342048400934,28813463,19.6634407743609,0.270381590581369,,-43.40301684,,,,,,,,,,,31913.90278,49545.47209,90.88085175,,,,,,,,70.2,,40,,,33.01988983,32.67696381,,,,,,17.1763533011561,,3.36757213106935,,2016,
ALB,"(1955,1960]",1960,,,,,,,,,,,,,,1608800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2909991174406,,,,1960,
ALB,"(1960,1965]",1963,,,,,,,,,,,,,,1762533.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3814147959218,,2.95320845993263,,1961,
ALB,"(1965,1970]",1968,1.55914461612701,7078.47314453125,23.9351062774658,22.2753868103027,25.5948314666748,21.0660419464111,17.4386234283447,24.6934585571289,26.8041763305664,27.1121501922607,26.4962043762207,,,2023923.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31470042296424e-06,-12.6171433085566,14.519787802167,,2.7108399003102,13.5225102305412,1966,
ALB,"(1970,1975]",1973,1.64514462947845,7981.31181640625,23.9351062774658,22.2753868103027,25.5948314666748,21.0660419464111,17.4386234283447,24.6934585571289,26.8041763305664,27.1121501922607,26.4962043762207,,,2296537.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47265484623356e-06,-12.5708666324346,14.6463575181423,1.58755417360467,2.37577306659873,14.1648784279823,1971,3.36059296416967e-06
ALB,"(1975,1980]",1978,1.80951669216156,9701.5244140625,23.8838539123535,22.2408634185791,25.5268493652344,20.999040222168,17.4221591949463,24.575919342041,26.7686725616455,27.0595672607422,26.477779006958,,45.8250749506054,2565633.4,,,71027.4073726913,,,,,,,,,,,,,,,,,,,,,,,,,,4.890504621,,,,,,3.77830626841169e-06,-12.4866267408696,14.7572867659362,1.91538808997407,2.1069300420179,14.3731272220612,1976,3.63354904714756e-06
ALB,"(1980,1985]",1983,2.10040028095245,11268.24453125,23.3724002838135,21.7556774139404,24.9891212463379,20.4920558929443,17.2918537139893,23.6922580718994,26.2527420043945,26.2195011138916,26.2859840393066,,39.6463204385038,2844697,1.40614807339376,0.188990495918816,67837.4554801533,-64.322197655,,,,,,,,,,,,,,,,,,,,,,,,,4.345060685,16.824314115,18.913603785,,,,3.96176705218506e-06,-12.4388571298477,14.8605256558992,-0.168497923313033,2.07941252988228,14.4164156913757,1981,4.00650250593256e-06
ALB,"(1985,1990]",1988,2.40964775085449,12588.0896484375,24.4402408599854,21.5113891601563,27.3690925598145,20.1636749267578,17.3800407409668,22.9473075866699,28.7168079376221,25.6427375793457,31.7908771514893,,34.7756881601097,3152612.2,1.06971239042875,0.188194790236647,61370.7127199874,-64.486633154,,,,,,,,,,,,,,,,,,,,,,,,,3.2490775062,15.943138312,18.832549668,,,,3.99331299974084e-06,-12.4310520274311,14.96328572745,0.128775958554073,2.0607837755832,11.2256725132465,1986,4.02437793049359e-06
ALB,"(1990,1995]",1993,2.51488256454468,12667.3361328125,34.0520545959473,35.9052726745606,32.1988334655762,27.7902858734131,33.06364402771,22.5169281005859,40.3138236999512,38.7469047546387,41.8807388305664,85.342110942,61.9647151706462,3227287.2,1.35319102580594,0.499925273952685,64962.580050793,-38.217732661,69.92628606,49.4216156,1,110.496974993333,4.64694325133333,0,0,5.72402715666667,5.23385119475,,,114.9975,,5.9,59,5.7,5.7,4.077537537,,,59,42.45133209,70,32.5,1.7105560952,11.5929205888,50.37179451,,57.5,,3.92881781428547e-06,-12.4545982750395,14.9871150074514,3.32287611579353,-0.610198872755738,4.11079883575439,1991,3.61112263012774e-06
ALB,"(1995,2000]",1998,2.69004430770874,15620.9673828125,33.2704723358154,29.3437351226807,37.1972114562988,23.8881721496582,25.7485181808472,22.0278251647949,42.652774810791,32.9389533996582,52.3665977478027,13.39761337,47.3174740429954,3128529.8,1.01486882910995,0.31292729915254,81087.136794131,-59.277029692,60.853099062,33.36369667,1.1223978252,342.64632952,11.1444079404,0,0,11.1486446364,11.5847978618,,,345.02408222,,5.883931624,58.903590392,6.113333333,5.948,4.0759017944,86.9681015,86.9681015025,58.52,42.45133209,70,37.5,2.0215734018,13.0939079272,34.223565674,86.550863648,75,,4.99332376849759e-06,-12.2111880997085,14.9560338786347,2.65430789339739,-0.629396999274796,12.9015743732452,1996,5.53120471361883e-06
ALB,"(2000,2005]",2003,2.84325323104858,17624.793359375,47.0264373779297,43.7032829284668,50.3495887756348,47.8115310668945,46.6061012268067,49.0169586181641,46.2413444519043,40.8004669189453,51.6822235107422,3.2017435684,64.6916701147154,3037845,2.54047456104341,0.40487791174768,190233.359538518,-43.331515916,78.028697204,42.85294037,1.3445783616,1164.7517268,19.210356902,32.623646768,0.4211121798,19.635084152,9.7027044298,0.294305801,22.59269798,605.43536848,12.266810415,6.2675861944,62.675861356,7.0762745122,7.0762745122,4.1376662256,91.527015688,91.527015688,61,42.45133209,70,37.5,4.9997644224,20.638673782,44.052997588,93.217115784,75,,5.80349896505265e-06,-12.0585204486174,14.9266427939412,3.54824785263578,-0.508443557687173,26.0209345817566,2001,5.51239579122651e-06
ALB,"(2005,2010]",2008,2.89104027748108,24075.9390625,57.4467613220215,55.0170478820801,59.8764686584473,65.4443412780762,57.0076637268067,73.8810165405273,49.4491760253906,53.0264312744141,45.8719215393067,2.8990845658,77.0835119544875,2950083.6,4.76563583644877,0.492202251796631,346934.558492284,-26.287626322,95.34510498,60.094922636,1.7194497942,3270.0731672,28.539216614,582.40608468,4.8998091938,33.493232724,23.416070556,0.9828316094,115.73946109,2693.3284854,24.435952952,6.9729678612,69.72967987,7.5624118552,7.5624118552,4.2441078188,94.84287567,94.84287567,74.6,22.546029666,68,,6.337687734,28.929865648,53.305927276,,,,8.16986233715983e-06,-11.7215259220776,14.8972971143116,7.34263117689714,-0.664865793850638,30.8761048316956,2006,6.86414331483349e-06
ALB,"(2010,2015]",2013,2.92071062326431,29846.4301757813,63.7692733764649,61.2705741882324,66.2679740905762,70.3972885131836,62.4437950134277,78.3507858276367,57.1412567138672,60.0973510742188,54.185164642334,2.1922711216,76.1622709023122,2894099,4.28501577452179,0.477121865229766,332774.059241802,-23.790967704,145.82156982,102.498517985,2.8306584596,5410.2613126,43.130590058,1413.3865128,11.2703780172,54.638716124,33.91874466,1.9634760618,243.92660974,4251.8957362,36.039566042,7.6235480754,76.235481262,7.8239387108,7.8239387108,4.3318903922,97.51520691,97.51520691,82.94,42.45133209,68,,5.332922143,31.66089363,50.7923172,,,,1.03020199383069e-05,-11.4847450178404,14.8781799954594,4.62535809516314,-0.223126508618741,24.8039666563273,2011,9.42091855064806e-06
