Year,iso3c,FDI_Inward_Flow_USD_current_millions,FDI_Inward_Flow_USD_current_pc,FDI_Inward_Flow_perc_total_world,FDI_Inward_Flow_perc_GDP,FDI_Inward_Flow_perc_GFCF,FDI_Outward_Flow_USD_current_millions,FDI_Outward_Flow_USD_current_pc,FDI_Outward_Flow_perc_total_world,FDI_Outward_Flow_perc_GDP,FDI_Outward_Flow_perc_GFCF,FDI_Inward_Stock_USD_current_millions,FDI_Inward_Stock_USD_current_pc,FDI_Inward_Stock_perc_total_world,FDI_Inward_Stock_perc_GDP,FDI_Inward_Stock_perc_GFCF,FDI_Outward_Stock_USD_current_millions,FDI_Outward_Stock_USD_current_pc,FDI_Outward_Stock_perc_total_world,FDI_Outward_Stock_perc_GDP,FDI_Outward_Stock_perc_GFCF
1970,NLD,633,633,632.6,632.6,632.6,1317,1317,1316.85,1316.85,1316.85,,,,,,,,,,
1970,NZL,146,146,146,146,146,9,9,9,9,9,,,,,,,,,,
1970,NIC,15,15,15,15,15,,,,,,,,,,,,,,,
1970,NER,9,9,9.497,9.5,9.5,,,,,,,,,,,,,,,
1970,NGA,205,205,205,205,205,,,,,,,,,,,,,,,
1970,NOR,64,64,64,64,64,32,32,32,32,32,,,,,,,,,,
1970,PAK,23,23,23,23,23,,,,,,,,,,,,,,,
1970,PAN,168,168,168.1,168.1,168.1,,,,,,,,,,,,,,,
1970,PNG,130,130,129.65,129.65,129.65,,,,,,,,,,,,,,,
1970,PRY,6,6,5.659,5.66,5.66,,,,,,,,,,,,,,,
1970,PER,0,0,-0.105,-0.11,-0.11,,,,,,,,,,,,,,,
1970,PHL,0,0,-0.008,-0.01,-0.01,,,,,,,,,,,,,,,
1970,PRT,29,29,28.9,28.9,28.9,,,,,,,,,,,,,,,
1970,QAT,52,52,51.957,51.96,51.96,,,,,,,,,,,,,,,
1970,RWA,0,0,0.409,0.41,0.41,,,,,,,,,,,,,,,
1970,SAU,7,7,7.36,7.36,7.36,,,,,,,,,,,,,,,
1970,SEN,5,5,5,5,5,,,,,,,,,,,,,,,
1970,SYC,42,42,42.013,42.01,42.01,,,,,,,,,,,,,,,
1970,SLE,13,13,13.061,13.06,13.06,,,,,,,,,,,,,,,
1970,SGP,93,93,93,93,93,,,,,,,,,,,,,,,
1970,VNM,0,0,0.07,0.07,0.07,,,,,,,,,,,,,,,
1970,SOM,14,14,14.444,14.44,14.44,,,,,,,,,,,,,,,
1970,ZAF,335,335,334.6,334.6,334.6,17,17,16.8,16.8,16.8,,,,,,,,,,
1970,ZWE,36,36,36.205,36.21,36.21,,,,,,,,,,,,,,,
1970,ESP,222,222,222,222,222,43,43,43,43,43,,,,,,,,,,
1970,SDN,2,2,1.66,1.66,1.66,,,,,,,,,,,,,,,
