year,Tariff_RES,iso3c
1975,,DEU
1976,,DEU
1977,,DEU
1978,,DEU
1979,,DEU
1980,95.5956268310547,DEU
1981,95.8403091430664,DEU
1982,96.0849990844727,DEU
1983,96.0849990844727,DEU
1984,96.0849990844727,DEU
1985,96.8190612792969,DEU
1986,96.5743713378906,DEU
1987,96.3296890258789,DEU
1988,96.0849990844727,DEU
1989,96.1699981689453,DEU
1990,95.2050018310547,DEU
1991,95.8000030517578,DEU
1992,95.8050003051758,DEU
1993,95.8450012207031,DEU
1994,95.9000015258789,DEU
1995,96.2850036621094,DEU
1996,96.754997253418,DEU
1997,96.754997253418,DEU
1998,97.4499969482422,DEU
1999,97.6335983276367,DEU
2000,97.7559967041016,DEU
2001,97.7202987670898,DEU
2002,97.6489028930664,DEU
2003,97.7559967041016,DEU
2004,96.6849975585938,DEU
2005,97.8682022094727,DEU
2006,,DEU
1970,,ITA
1971,,ITA
1972,,ITA
1973,,ITA
1974,,ITA
1975,,ITA
1976,,ITA
1977,,ITA
1978,,ITA
1979,,ITA
1980,97.8329162597656,ITA
1981,98.4520797729492,ITA
1982,96.904167175293,ITA
1983,96.2850036621094,ITA
1984,96.904167175293,ITA
1985,97.213752746582,ITA
1986,96.2850036621094,ITA
1987,96.2850036621094,ITA
1988,96.2850036621094,ITA
1989,96.2699966430664,ITA
1990,95.4049987792969,ITA
1991,95.9499969482422,ITA
1992,95.9049987792969,ITA
1993,95.995002746582,ITA
1994,96.0999984741211,ITA
1995,96.4850006103516,ITA
1996,96.8550033569336,ITA
1997,96.9049987792969,ITA
1998,97.1999969482422,ITA
1999,97.4016036987305,ITA
2000,97.536003112793,ITA
2001,97.4968032836914,ITA
2002,97.4183959960938,ITA
2003,97.536003112793,ITA
2004,96.3600006103516,ITA
2005,97.6592025756836,ITA
2006,,ITA
1970,,NLD
1971,,NLD
1972,,NLD
1973,,NLD
1974,,NLD
1975,,NLD
1976,,NLD
1977,,NLD
1978,,NLD
1979,,NLD
1980,95.9124984741211,NLD
1981,96.1849975585938,NLD
1982,96.4574966430664,NLD
1983,96.7300033569336,NLD
1984,96.4574966430664,NLD
1985,96.7300033569336,NLD
1986,96.4574966430664,NLD
1987,96.1849975585938,NLD
1988,96.1849975585938,NLD
1989,96.1699981689453,NLD
1990,95.2050018310547,NLD
1991,95.6500015258789,NLD
1992,95.6050033569336,NLD
1993,96.0449981689453,NLD
1994,95.6999969482422,NLD
1995,96.2350006103516,NLD
1996,96.7050018310547,NLD
1997,96.6549987792969,NLD
1998,97.0080490112305,NLD
1999,97.2234725952148,NLD
2000,97.3670806884766,NLD
2001,97.3251953125,NLD
2002,97.2414245605469,NLD
2003,97.3670806884766,NLD
2004,96.110466003418,NLD
2005,97.4987335205078,NLD
2006,,NLD
1970,,NOR
1971,,NOR
1972,,NOR
1973,,NOR
1974,,NOR
1975,,NOR
1976,,NOR
1977,,NOR
1978,,NOR
1979,,NOR
1980,96.5999984741211,NOR
1981,95.75,NOR
1982,96.5999984741211,NOR
1983,96.5999984741211,NOR
1984,96.5999984741211,NOR
1985,96.5999984741211,NOR
1986,96.5999984741211,NOR
1987,95.75,NOR
1988,96.5999984741211,NOR
1989,96.8000030517578,NOR
1990,97.1500015258789,NOR
1991,96.9000015258789,NOR
1992,96.6999969482422,NOR
1993,96.5,NOR
1994,96.4499969482422,NOR
1995,96.4000015258789,NOR
1996,96.75,NOR
1997,97.3499984741211,NOR
1998,97.5500030517578,NOR
1999,97.9000015258789,NOR
2000,98.1500015258789,NOR
2001,98.2258148193359,NOR
2002,98.4381561279297,NOR
2003,98.453842163086,NOR
2004,96.1192016601563,NOR
2005,98.9427719116211,NOR
2006,,NOR
1970,,SWE
1971,,SWE
1972,,SWE
1973,,SWE
1974,,SWE
1975,,SWE
1976,,SWE
1977,,SWE
1978,,SWE
1979,,SWE
1980,97.0975036621094,SWE
1981,96.9362487792969,SWE
1982,96.4524993896485,SWE
1983,96.6137466430664,SWE
1984,96.129997253418,SWE
1985,95.807502746582,SWE
1986,95.3237457275391,SWE
1987,95.0012512207031,SWE
1988,95.4850006103516,SWE
1989,95.5199966430664,SWE
1990,94.6050033569336,SWE
1991,95.0500030517578,SWE
1992,95.004997253418,SWE
1993,95.5449981689453,SWE
1994,95.6999969482422,SWE
1995,96.2850036621094,SWE
1996,96.8550033569336,SWE
1997,96.8050003051758,SWE
1998,97.4499969482422,SWE
1999,97.629997253418,SWE
2000,97.75,SWE
2001,97.7142028808594,SWE
2002,97.6426162719727,SWE
2003,97.75,SWE
2004,96.676139831543,SWE
2005,97.8625030517578,SWE
2006,,SWE
1970,,CHE
1971,,CHE
1972,,CHE
1973,,CHE
