Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Brazil; World;Import;  All Products;AHS Weighted Average (%);;31,91914164;18,95028819;16,55546058;15,70514622;13,01722863;13,26339897;10,97170919;14,83437749;14,00228776;15,93542039;12,30954381;12,6885225;10,46547731;10,00649634;9,526058355;7,673129829;7,17163174;6,703654954;6,765501904;6,744038698;7,586713363;7,762087066;7,836995018;7,757557506;10,0804442;7,791236655;8,267015346;8,00799909;8,592818019;7,947757633
Brunei; World;Import;  All Products;AHS Weighted Average (%);;;;;4,427998495;;;;;11,25128357;11,25587748;;;10,88108062;10,7413716;11,89807052;6,123352514;;5,458619218;5,235614052;1,521313567;1,415769571;2,512722108;0,950447646;;;0,461292372;;0,49788012;0,030816434;0,025497059
Bulgaria; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;8,698239419;5,74499631;10,31062677;5,599078606;9,558691198;9,667032802;9,603398162;9,120112569;2,074149866;;;;;;;;;;;;
Burkina Faso; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;11,15925667;11,45156078;11,29902678;11,38244141;11,02654791;;8,769983208;8,769983208;8,769983208;8,699862198;8,477817551;8,415221964;8,415797877;7,919250659;6,862610368;6,9320048;9,077290679;7,788810147
Burundi; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;;13,33742724;13,80400191;;21,10476857;17,49371717;12,28306112;10,71557314;13,84239028;7,995211931;6,833271805;6,988779768;5,389426373;5,991766321;6,130069812;5,913103228;;7,891748899
Cambodia; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;16,42737779;16,18088313;16,2884078;;10,81109309;10,46140509;10,53034267;9,913060232;;9,503967129;8,936853576;9,083886765;;4,853648866;;9,769556392;;
Cameroon; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;14,49041207;;;;;;13,48719841;13,89689278;14,26775478;14,26775478;14,4529723;13,80758394;13,01215706;13,00303717;11,58474122;13,00303717;12,65109601;11,7021628;12,9886352;12,70323956;;;;
Canada; World;Import;  All Products;AHS Weighted Average (%);;7,018914899;;;;3,592836828;;6,694155076;5,429328149;1,988450738;1,444284864;1,006376372;1,305688734;1,596224506;1,489320069;2,459301628;1,51021401;1,459446671;1,452683191;1,540870473;1,535955781;1,704988921;1,459019025;1,382041736;1,401228008;1,447135449;1,433732385;1,65210964;1,556859434;1,517800804;1,471272924
Cape Verde; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;;;;;13,75005787;13,18606485;12,2252622;12,2252622;11,930661;11,05340545;10,29932297;10,60075163;10,8869065;;10,88656666;;;
Central African Republic; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;13,35728773;;13,43532924;;;;18,29815689;16,86271898;29,8573594;29,8573594;29,48746332;29,86546037;15,23082026;15,2264259;15,2264259;15,2264259;15,50796059;17,44072251;16,60778;;16,4359225;16,4359225;16,4359225;
