Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Brazil; World;Import;  All Products;MFN Weighted Average (%);;31,91914164;18,95028819;16,56286704;15,70515602;13,01722863;13,27168715;12,69080727;14,83437749;14,00228776;15,93542039;13,84989301;12,6885225;10,46547731;10,00649634;9,526058355;9,064725038;8,537434871;8,464272726;8,576314202;8,581842051;9,916949846;10,08649154;10,09778499;10,12119185;10,0804442;9,923223084;10,32382976;10,18692235;10,86580575;10,99161909
Brunei; World;Import;  All Products;MFN Weighted Average (%);;;;;4,427998495;;;;;11,25128357;11,25587748;;;11,18527582;11,08539559;12,27594399;6,433174956;;5,944581411;5,709987721;2,022793176;2,509294855;2,512722108;2,446407818;;;1,134604495;;1,187702538;0,1210252;0,10629487
Bulgaria; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;14,13104773;11,72589797;10,36842164;11,16335485;9,629366178;9,667032802;9,603398162;9,120112569;8,842667127;;;;;;;;;;;;
Burkina Faso; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;11,15925667;11,45156078;11,29902678;11,38244141;11,02654791;;10,41710811;10,41710811;10,41710811;10,62806761;10,17527021;9,649248291;9,650016761;9,648936583;9,322892422;9,595568775;9,077290679;10,808474
Burundi; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;;21,13085926;20,78916201;;21,10476857;17,49371717;14,63702036;13,37852936;19,5035912;19,5035912;15,45694203;15,15543311;12,38767815;13,03307177;10,84004532;10,24951962;;16,26979999
Cambodia; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;16,4886363;16,27941576;16,46654603;;11,07939388;10,86262522;11,68421162;11,41668504;;9,503967129;8,936853576;9,083886765;;8,338912528;;9,769556392;;
Cameroon; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;14,54057005;;;;;;13,48719841;13,89689278;14,26775478;14,26775478;14,4529723;13,80758394;13,30634901;13,29702744;11,89233213;13,29702744;12,74383813;11,92953638;13,28225716;12,90338081;;;;
Canada; World;Import;  All Products;MFN Weighted Average (%);;8,079702275;;;;6,983502333;;6,928899241;5,60060995;5,191849062;3,95144434;3,734110032;3,434528399;3,607196709;3,669688487;6,109241954;3,539875482;3,400584249;3,384078552;3,48778538;3,357988299;3,492243201;2,956020067;2,836619605;2,879148167;2,966468808;2,939118753;3,113650859;3,202409515;3,165177807;3,087596947
Cape Verde; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;;;;;13,75005787;13,18606485;12,2252622;12,2252622;11,930661;11,05340545;10,29932297;10,60075163;10,8869065;;10,88656666;;;
Central African Republic; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;14,86082401;;16,78199671;;;;18,29815689;16,86271898;29,8573594;29,8573594;29,48746332;29,86546037;17,62831079;17,62262373;17,62262373;17,62262373;17,43374234;17,44072251;17,69187352;;17,52026873;17,52026873;17,52026873;
Chad; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;17,30796717;;;;;;;;;;;;;;;;;;;;;;;
