"","year","exports_world","ccode","exports","imports_world","imports","Population","rgdpo","GDP_world","GDP","rgdo","country_trade","trade_to_GDP","wld_trade","WTS","D","CTS","WTS_pop","Lietal","Alcala","Frankel"
"1","1960",NA,"ABW",NA,NA,NA,54211,NA,1.36632e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1961",NA,"ABW",NA,NA,NA,55438,NA,1.4214e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1962",NA,"ABW",NA,NA,NA,56225,NA,1.52652e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1963",NA,"ABW",NA,NA,NA,56695,NA,1.64327e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1964",NA,"ABW",NA,NA,NA,57032,NA,1.80034e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1965",NA,"ABW",NA,NA,NA,57360,NA,1.96124e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1966",NA,"ABW",NA,NA,NA,57715,NA,2.12789e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1967",NA,"ABW",NA,NA,NA,58055,NA,2.2641e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1968",NA,"ABW",NA,NA,NA,58386,NA,2.44277e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1969",NA,"ABW",NA,NA,NA,58726,NA,2.69039e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1970",NA,"ABW",NA,NA,NA,59063,420.7050171,2.9574e+12,NA,420705017.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1971",NA,"ABW",NA,NA,NA,59440,458.9332275,3.26649e+12,NA,458933227.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1972",NA,"ABW",NA,NA,NA,59840,500.6367798,3.76726e+12,NA,500636779.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1973",NA,"ABW",NA,NA,NA,60243,546.1290283,4.59079e+12,NA,546129028.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1974",NA,"ABW",NA,NA,NA,60528,595.7424316,5.29546e+12,NA,595742431.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1975",NA,"ABW",NA,NA,NA,60657,649.8850098,5.89667e+12,NA,649885009.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1976",NA,"ABW",NA,NA,NA,60586,708.9619141,6.41597e+12,NA,708961914.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1977",1.37e+12,"ABW",NA,1.37e+12,NA,60366,773.3997192,7.25697e+12,NA,773399719.2,NA,NA,2.74e+12,NA,NA,NA,NA,NA,NA,NA
"19","1978",1.59e+12,"ABW",NA,1.59e+12,NA,60103,843.7005615,8.54188e+12,NA,843700561.5,NA,NA,3.18e+12,NA,NA,NA,NA,NA,NA,NA
"20","1979",2.02e+12,"ABW",NA,1.99e+12,NA,59980,920.3623047,9.92464e+12,NA,920362304.7,NA,NA,4.01e+12,NA,NA,NA,NA,NA,NA,NA
"21","1980",2.43e+12,"ABW",NA,2.41e+12,NA,60096,1003.974609,1.11706e+13,NA,1003974609,NA,NA,4.84e+12,NA,NA,NA,NA,NA,NA,NA
"22","1981",2.42e+12,"ABW",NA,2.41e+12,NA,60567,1095.226318,1.14632e+13,NA,1095226318,NA,NA,4.83e+12,NA,NA,NA,NA,NA,NA,NA
"23","1982",2.26e+12,"ABW",NA,2.27e+12,NA,61345,1194.833984,1.13626e+13,NA,1194833984,NA,NA,4.53e+12,NA,NA,NA,NA,NA,NA,NA
"24","1983",2.19e+12,"ABW",NA,2.22e+12,NA,62201,1303.377563,1.16229e+13,NA,1303377563,NA,NA,4.41e+12,NA,NA,NA,NA,NA,NA,NA
"25","1984",2.29e+12,"ABW",NA,2.34e+12,NA,62836,1421.882446,1.20647e+13,NA,1421882446,NA,NA,4.63e+12,NA,NA,NA,NA,NA,NA,NA
"26","1985",2.31e+12,"ABW",NA,2.36e+12,NA,63026,1551.217651,1.26888e+13,NA,1551217651,NA,NA,4.67e+12,NA,NA,NA,NA,NA,NA,NA
"27","1986",2.54e+12,"ABW",246424581,2.61e+12,261005586.6,62644,1691.726807,1.50221e+13,NA,1691726807,507430167.6,NA,5.15e+12,9.8530129631068e-05,-0.973988045777398,NA,1.57285820878405e-09,NA,299948.056329405,NA
"28","1987",3.01e+12,"ABW",305195530.7,3.06e+12,312625698.3,61833,1964.305664,1.70911e+13,NA,1964305664,617821229,NA,6.07e+12,0.000101782739538715,-0.973129356761779,NA,1.64609091486286e-09,NA,314523.976753141,NA
"29","1988",3.43e+12,"ABW",413575419,3.46e+12,439888268.2,61079,2331.286133,1.91405e+13,NA,2331286133,853463687.2,NA,6.89e+12,0.000123869911059507,-0.96729834348029,NA,2.02802781740871e-09,NA,366091.349800003,NA
"30","1989",3.71e+12,"ABW",458826815.6,3.73e+12,497597765.4,61032,2477.496094,2.00923e+13,NA,2477496094,956424581,NA,7.44e+12,0.000128551690994624,-0.966062353577419,NA,2.10629982623253e-09,NA,386044.839108433,NA
"31","1990",4.33e+12,"ABW",566480446.9,4.3e+12,715754189.9,62149,2803.597168,2.25945e+13,NA,2803597168,1282234636.8,NA,8.63e+12,0.000148578752815759,-0.96077520925664,NA,2.39068613840543e-09,NA,457353.378522174,NA
"32","1991",4.43e+12,"ABW",1351452514,4.46e+12,1550670391,64622,2588.083984,2.39274e+13,NA,2588083984,2902122905,NA,8.89e+12,0.000326448020809899,-0.913817722506187,NA,5.0516545574247e-09,NA,1121340.31312023,NA
"33","1992",4.77e+12,"ABW",1640391061,4.8e+12,1606536313,68235,3285.069824,2.54099e+13,NA,3285069824,3246927374,NA,9.57e+12,0.000339281857262278,-0.910429589682759,NA,4.9722555471866e-09,NA,988389.15090287,NA
"34","1993",4.72e+12,"ABW",1758435754,4.72e+12,1715586592,72504,3642.48999,2.58598e+13,NA,3642489990,3474022346,NA,9.44e+12,0.000368010841737288,-0.902845137781356,NA,5.07573156980702e-09,NA,953749.318608285,NA
"35","1994",5.3e+12,"ABW",1921005587,5.24e+12,1835977654,76700,4120.842285,2.77684e+13,1330167598,4120842285,3756983241,282.444351121534,1.054e+13,0.000356450022865275,-0.905897193963567,26.5788059896758,4.64732754713527e-09,0.380308297031138,911702.749381004,-2.49870868670361e+20
"36","1995",6.34e+12,"ABW",1992346369,6.22e+12,2017932961,80324,4051.763672,3.08735e+13,1320670391,4051763672,4010279330,303.654822378766,1.256e+13,0.000319289755573248,-0.915707504528662,25.5958227402119,3.97502310110612e-09,0.528003859889524,989761.41123761,-2.64812858538516e+20
"37","1996",6.75e+12,"ABW",2505586592,6.56e+12,2559217877,83200,4171.465332,3.15535e+13,1379888268,4171465332,5064804469,367.044534434726,1.331e+13,0.000380526256123216,-0.899541068383471,36.8729017849988,4.57363288609634e-09,0.854699602289046,1214154.75520006,-3.49443213324353e+20
"38","1997",6.94e+12,"ABW",2544413408,6.72e+12,2711955307,85451,4420.348145,3.14364e+13,1531843575,4420348145,5256368715,343.140043852062,1.366e+13,0.000384800052342606,-0.898412786181552,34.8586410044711,4.50316616941412e-09,0.770435307791748,1189130.02835436,-4.02596732195188e+20
"39","1998",6.87e+12,"ABW",2056871508,6.7e+12,2071229050,87277,4534.410156,3.13395e+13,1665363128,4534410156,4128100558,247.879906105379,1.357e+13,0.000304207852468681,-0.919689126948268,19.9074516713043,3.48554432976249e-09,0.243763304002561,910394.167262888,-3.43739322898471e+20
"40","1999",7.12e+12,"ABW",1250340782,7.01e+12,1590245810,89005,4327.731445,3.25117e+13,1722798883,4327731445,2840586592,164.882077648758,1.413e+13,0.000201032313658882,-0.946927469194055,8.7507091453619,2.25866314992283e-09,-0.0768875479242624,656368.498854485,-2.44687970388119e+20
"41","2000",7.94e+12,"ABW",1815620112,7.89e+12,1505843575,90853,3867.499268,3.35678e+13,1873452514,3867499268,3321463687,177.291052865192,1.583e+13,0.000209820826721415,-0.944607301745546,9.82062979457593,2.30945402707027e-09,-0.196164235278913,858814.302689611,-3.11130224728493e+20
"42","2001",7.66e+12,"ABW",2018206704,7.63e+12,1587748603,92898,4295.007324,3.33551e+13,1920262570,4295007324,3605955307,187.784491732295,1.529e+13,0.000235837495552649,-0.937738901174101,11.6916687977157,2.53867139822869e-09,-0.173103106904311,839569.070546246,-3.46219050256248e+20
"43","2002",8.01e+12,"ABW",1448782123,7.91e+12,1586519553,94992,3222.053223,3.4636e+13,1941094972,3222053223,3035301676,156.370590815172,1.592e+13,0.000190659653015075,-0.94966585160402,7.87078052285793,2.00711273596803e-09,-0.18261169077717,942039.583434901,-2.94590441089339e+20
"44","2003",9.39e+12,"ABW",1766139665,9.24e+12,1790519553,97017,3297.907715,3.88938e+13,2021301676,3297907715,3556659218,175.958851676132,1.863e+13,0.000190910317659689,-0.949599676137842,8.86838311089041,1.96780273209529e-09,-0.114123032283748,1078459.29157542,-3.59454061915212e+20
"45","2004",1.14e+13,"ABW",4687899441,1.12e+13,4234374302,98737,3695.290039,4.38057e+13,2228279330,3695290039,8922273743,400.410918993715,2.26e+13,0.000394790873584071,-0.895775209373805,41.7327441965622,3.99840863692507e-09,0.900339688847228,2414498.90234178,-9.94065907906432e+20
"46","2005",1.3e+13,"ABW",5724017205,1.28e+13,5007906282,100031,3906.520264,4.74297e+13,2331005587,3906520264,10731923487,460.398874496563,2.58e+13,0.000415966026627907,-0.890184968970233,50.55871668891,4.15837117121599e-09,1.14843794059783,2747182.34176297,-1.25080868037268e+21
"47","2006",1.49e+13,"ABW",6026262571,1.46e+13,5479533272,100832,4118.139648,5.13642e+13,2421474860,4118139648,11505795843,475.156526836706,2.95e+13,0.000390026977728814,-0.897032877879593,48.9255001251035,3.86808729102679e-09,1.26293797994373,2793930.47017914,-1.39304976890585e+21
"48","2007",1.74e+13,"ABW",6677821229,1.69e+13,5911452514,101220,4196.463379,5.78599e+13,2623726257,4196463379,12589273743,479.824208391112,3.43e+13,0.000367034219912536,-0.90310296594309,46.4935426618033,3.62610373357574e-09,1.2531205281909,2999972.26378751,-1.65154040380349e+21
"49","2008",1.99e+13,"ABW",7059664804,1.95e+13,6811899441,101353,4433.677246,6.34622e+13,2791960894,4433677246,13871564245,496.839489221012,3.94e+13,0.000352070158502538,-0.90705347815533,46.1795024381755,3.47370239166614e-09,1.43987023076896,3128681.56055219,-1.93644324553243e+21
"50","2009",1.59e+13,"ABW",3490111732,1.54e+13,3145754190,101453,4183.044922,6.01683e+13,2498932961,4183044922,6635865922,265.547976899089,3.13e+13,0.000212008495910543,-0.944029757079617,14.8627847740584,2.08972130849303e-09,0.258880500493822,1586372.13937145,-8.29129203863123e+20
"51","2010",1.89e+13,"ABW",1824636872,1.83e+13,2073575419,101669,3779.486328,6.59548e+13,2467703911,3779486328,3898212291,157.96920666306,3.72e+13,0.000104790652983871,-0.972335267612258,4.37017582783745,1.03070407876414e-09,-0.159677245277306,1031413.25373251,-4.80981685820448e+20
"52","2011",2.25e+13,"ABW",6861117318,2.18e+13,6760111732,102053,3579.359131,7.32805e+13,2584463687,3579359131,13621229050,527.042771717612,4.43e+13,0.000307476953724605,-0.918826084216704,42.7821255656002,3.01291440452123e-09,1.61570820867666,3805493.8192789,-1.76017859260173e+21
"53","2012",2.28e+13,"ABW",3151005587,2.21e+13,2869385475,102577,3576.219971,7.48902e+13,NA,3576219971,6020391062,NA,4.49e+13,0.000134084433452116,-0.964601709568641,NA,1.30715885093262e-09,NA,1683450.99317718,NA
"54","2013",2.35e+13,"ABW",2162036797,2.27e+13,2269288216,103187,4215.874512,7.69896e+13,NA,4215874512,4431325013,NA,4.62e+13,9.59161258225108e-05,-0.974678142782857,NA,9.29536916690192e-10,NA,1051104.58112231,NA
"55","2014",2.4e+13,"ABW",2299628836,2.32e+13,2261644998,103795,3858.201416,7.90452e+13,NA,3858201416,4561273834,NA,4.72e+13,9.66371575e-05,-0.97448779042,NA,9.310386579315e-10,NA,1182228.02342157,NA
"56","2015",2.13e+13,"ABW",2437130636,2.06e+13,2132591430,104341,NA,7.47603e+13,NA,NA,4569722066,NA,4.19e+13,0.000109062579140811,-0.971207479106826,NA,1.04525142696362e-09,NA,NA,NA
"57","2016",2.08e+13,"ABW",2346070252,2.02e+13,2008884207,104822,NA,7.58478e+13,NA,NA,4354954459,NA,4.1e+13,0.000106218401439024,-0.971958342020098,NA,1.0133216446836e-09,NA,NA,NA
"58","2017",NA,"ABW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1960",NA,"AFG",NA,NA,NA,8996351,NA,1.36632e+12,537777811.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","1961",NA,"AFG",NA,NA,NA,9166764,NA,1.4214e+12,548888895.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","1962",NA,"AFG",NA,NA,NA,9345868,NA,1.52652e+12,546666677.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1963",NA,"AFG",NA,NA,NA,9533954,NA,1.64327e+12,751111191.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1964",NA,"AFG",NA,NA,NA,9731361,NA,1.80034e+12,800000044.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1965",NA,"AFG",NA,NA,NA,9938414,NA,1.96124e+12,1006666638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","1966",NA,"AFG",NA,NA,NA,10152331,NA,2.12789e+12,1399999967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1967",NA,"AFG",NA,NA,NA,10372630,NA,2.2641e+12,1673333418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1968",NA,"AFG",NA,NA,NA,10604346,NA,2.44277e+12,1373333367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1969",NA,"AFG",NA,NA,NA,10854428,NA,2.69039e+12,1408888922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1970",NA,"AFG",NA,NA,NA,11126123,NA,2.9574e+12,1748886596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1971",NA,"AFG",NA,NA,NA,11417825,NA,3.26649e+12,1831108971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","1972",NA,"AFG",NA,NA,NA,11721940,NA,3.76726e+12,1595555476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","1973",NA,"AFG",NA,NA,NA,12027822,NA,4.59079e+12,1733333264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","1974",NA,"AFG",NA,NA,NA,12321541,NA,5.29546e+12,2155555498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","1975",NA,"AFG",NA,NA,NA,12590286,NA,5.89667e+12,2366666616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","1976",NA,"AFG",NA,NA,NA,12840299,NA,6.41597e+12,2555555567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","1977",1.37e+12,"AFG",NA,1.37e+12,NA,13067538,NA,7.25697e+12,2953333418,NA,NA,NA,2.74e+12,NA,NA,NA,NA,NA,NA,NA
"77","1978",1.59e+12,"AFG",NA,1.59e+12,NA,13237734,NA,8.54188e+12,3300000109,NA,NA,NA,3.18e+12,NA,NA,NA,NA,NA,NA,NA
"78","1979",2.02e+12,"AFG",568800000,1.99e+12,773900000,13306695,NA,9.92464e+12,3697940410,NA,1342700000,36.3094006698718,4.01e+12,0.000334837905236908,-0.911602793017456,3.20964960642677,2.51631156524522e-11,-0.790348741752806,NA,-2.4826122942535e+20
"79","1980",2.43e+12,"AFG",740800000,2.41e+12,917600000,13248370,NA,1.11706e+13,3641723322,NA,1658400000,45.5388796282641,4.84e+12,0.000342644628099174,-0.909541818181818,4.11936425320981,2.58631535878884e-11,-0.747705370319897,NA,-3.0197169786024e+20
"80","1981",2.42e+12,"AFG",722700000,2.41e+12,1060400000,13053954,NA,1.14632e+13,3478787909,NA,1783100000,51.2563584398729,4.83e+12,0.000369171842650104,-0.902538633540373,4.99551473329447,2.8280461433379e-11,-0.694877712901679,NA,-3.10151336026895e+20
"81","1982",2.26e+12,"AFG",756800000,2.27e+12,969500000,12749645,NA,1.13626e+13,NA,NA,1726300000,NA,4.53e+12,0.000381081677704194,-0.899394437086093,NA,2.98895912556149e-11,NA,NA,NA
"82","1983",2.19e+12,"AFG",778500000,2.22e+12,1041500000,12389269,NA,1.16229e+13,NA,NA,1.82e+09,NA,4.41e+12,0.000412698412698413,-0.891047619047619,NA,3.33109574663697e-11,NA,NA,NA
"83","1984",2.29e+12,"AFG",821100000,2.34e+12,1400900000,12047115,NA,1.20647e+13,NA,NA,2.222e+09,NA,4.63e+12,0.000479913606911447,-0.873302807775378,NA,3.98363929381804e-11,NA,NA,NA
"84","1985",2.31e+12,"AFG",668200000,2.36e+12,1075700000,11783050,NA,1.26888e+13,NA,NA,1743900000,NA,4.67e+12,0.000373426124197002,-0.901415503211991,NA,3.1691805109628e-11,NA,NA,NA
"85","1986",2.54e+12,"AFG",526300000,2.61e+12,1320100000,11601041,NA,1.50221e+13,NA,NA,1846400000,NA,5.15e+12,0.00035852427184466,-0.90534959223301,NA,3.09044914025095e-11,NA,NA,NA
"86","1987",3.01e+12,"AFG",574300000,3.06e+12,1060800000,11502761,NA,1.70911e+13,NA,NA,1635100000,NA,6.07e+12,0.000269373970345964,-0.928885271828666,NA,2.34182011037145e-11,NA,NA,NA
"87","1988",3.43e+12,"AFG",523400000,3.46e+12,851800000,11540888,NA,1.91405e+13,NA,NA,1375200000,NA,6.89e+12,0.000199593613933237,-0.947307285921625,NA,1.7294476294479e-11,NA,NA,NA
"88","1989",3.71e+12,"AFG",260500000,3.73e+12,726900000,11777609,NA,2.00923e+13,NA,NA,987400000,NA,7.44e+12,0.000132715053763441,-0.964963225806452,NA,1.12684207603972e-11,NA,NA,NA
"89","1990",4.33e+12,"AFG",NA,4.3e+12,NA,12249114,NA,2.25945e+13,NA,NA,NA,NA,8.63e+12,NA,NA,NA,NA,NA,NA,NA
"90","1991",4.43e+12,"AFG",NA,4.46e+12,NA,12993657,NA,2.39274e+13,NA,NA,NA,NA,8.89e+12,NA,NA,NA,NA,NA,NA,NA
"91","1992",4.77e+12,"AFG",NA,4.8e+12,NA,13981231,NA,2.54099e+13,NA,NA,NA,NA,9.57e+12,NA,NA,NA,NA,NA,NA,NA
"92","1993",4.72e+12,"AFG",NA,4.72e+12,NA,15095099,NA,2.58598e+13,NA,NA,NA,NA,9.44e+12,NA,NA,NA,NA,NA,NA,NA
"93","1994",5.3e+12,"AFG",NA,5.24e+12,NA,16172719,NA,2.77684e+13,NA,NA,NA,NA,1.054e+13,NA,NA,NA,NA,NA,NA,NA
"94","1995",6.34e+12,"AFG",NA,6.22e+12,NA,17099541,NA,3.08735e+13,NA,NA,NA,NA,1.256e+13,NA,NA,NA,NA,NA,NA,NA
"95","1996",6.75e+12,"AFG",NA,6.56e+12,NA,17822884,NA,3.15535e+13,NA,NA,NA,NA,1.331e+13,NA,NA,NA,NA,NA,NA,NA
"96","1997",6.94e+12,"AFG",NA,6.72e+12,NA,18381605,NA,3.14364e+13,NA,NA,NA,NA,1.366e+13,NA,NA,NA,NA,NA,NA,NA
"97","1998",6.87e+12,"AFG",NA,6.7e+12,NA,18863999,NA,3.13395e+13,NA,NA,NA,NA,1.357e+13,NA,NA,NA,NA,NA,NA,NA
"98","1999",7.12e+12,"AFG",NA,7.01e+12,NA,19403676,NA,3.25117e+13,NA,NA,NA,NA,1.413e+13,NA,NA,NA,NA,NA,NA,NA
"99","2000",7.94e+12,"AFG",NA,7.89e+12,NA,20093756,NA,3.35678e+13,NA,NA,NA,NA,1.583e+13,NA,NA,NA,NA,NA,NA,NA
"100","2001",7.66e+12,"AFG",NA,7.63e+12,NA,20966463,NA,3.33551e+13,2461665938,NA,NA,NA,1.529e+13,NA,NA,NA,NA,NA,NA,NA
"101","2002",8.01e+12,"AFG",NA,7.91e+12,NA,21979923,NA,3.4636e+13,4128820723,NA,NA,NA,1.592e+13,NA,NA,NA,NA,NA,NA,NA
"102","2003",9.39e+12,"AFG",NA,9.24e+12,NA,23064851,NA,3.88938e+13,4583644246,NA,NA,NA,1.863e+13,NA,NA,NA,NA,NA,NA,NA
"103","2004",1.14e+13,"AFG",NA,1.12e+13,NA,24118979,NA,4.38057e+13,5285465686,NA,NA,NA,2.26e+13,NA,NA,NA,NA,NA,NA,NA
"104","2005",1.3e+13,"AFG",NA,1.28e+13,NA,25070798,NA,4.74297e+13,6275073572,NA,NA,NA,2.58e+13,NA,NA,NA,NA,NA,NA,NA
"105","2006",1.49e+13,"AFG",NA,1.46e+13,NA,25893450,NA,5.13642e+13,7057598407,NA,NA,NA,2.95e+13,NA,NA,NA,NA,NA,NA,NA
"106","2007",1.74e+13,"AFG",NA,1.69e+13,NA,26616792,NA,5.78599e+13,9843842455,NA,NA,NA,3.43e+13,NA,NA,NA,NA,NA,NA,NA
"107","2008",1.99e+13,"AFG",2525359558,1.95e+13,6244980947,27294031,NA,6.34622e+13,10190529882,NA,8770340505,86.0636356161563,3.94e+13,0.000222597474746193,-0.941234266667005,5.05759266028709,8.15553681851511e-12,-0.387017419343579,NA,-4.46872084957587e+21
"108","2009",1.59e+13,"AFG",2207492864,1.54e+13,4341995767,28004331,NA,6.01683e+13,12486943506,NA,6549488631,52.4506948225797,3.13e+13,0.000209248838051118,-0.944758306754505,2.89746519390203,7.47201702662057e-12,-0.652069601726921,NA,-4.08915472642431e+21
"109","2010",1.89e+13,"AFG",2479619696,1.83e+13,6055959587,28803167,NA,6.59548e+13,15936800636,NA,8535579283,53.5589261480676,3.72e+13,0.000229451055994624,-0.939424921217419,3.24433617092961,7.96617455277136e-12,-0.61975991487048,NA,-6.80149126729714e+21
"110","2011",2.25e+13,"AFG",3200232419,2.18e+13,7751953676,29708599,NA,7.32805e+13,17930239400,NA,10952186095,61.0822078315363,4.43e+13,0.000247227677088036,-0.934731893248758,3.98672006135023,8.3217548255317e-12,-0.567415656546182,NA,-9.81876593183506e+21
"111","2012",2.28e+13,"AFG",1973519939,2.21e+13,10248885666,30696958,NA,7.48902e+13,20536542737,NA,12222405605,59.5154002381292,4.49e+13,0.000272213933296214,-0.9281355216098,4.27704319429717,8.86778205502362e-12,-0.500669739313941,NA,-1.25502977528015e+22
"112","2013",2.35e+13,"AFG",1545693957,2.27e+13,9512739749,31731688,NA,7.69896e+13,20264253974,NA,11058433706,54.5711365451129,4.62e+13,0.000239360036926407,-0.936808950251429,3.44840740425831,7.54324941447826e-12,-0.530302301358802,NA,-1.12045454586513e+22
"113","2014",2.4e+13,"AFG",2753074673,2.32e+13,8593314955,32758020,NA,7.90452e+13,20616104298,NA,11346389628,55.0365358265127,4.72e+13,0.000240389610762712,-0.936537142758644,3.49277581621675,7.33834373270154e-12,-0.582913832709915,NA,-1.16959175988297e+22
"114","2015",2.13e+13,"AFG",1316243760,2.06e+13,8569812119,33736494,NA,7.47603e+13,19215562179,NA,9886055879,51.4481740732213,4.19e+13,0.000235944054391408,-0.937710769640668,3.20466716641388,6.99373368173374e-12,-0.553760072430301,NA,-9.49830607239965e+21
"115","2016",2.08e+13,"AFG",1081519056,2.02e+13,7356940420,34656032,NA,7.58478e+13,19469022208,NA,8438459476,43.343006062896,4.1e+13,0.000205816084780488,-0.945664553617951,2.3550615819673,5.93882429415138e-12,-0.62186401787785,NA,-8.2144277469776e+21
"116","2017",NA,"AFG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","1960",NA,"AGO",NA,NA,NA,5643182,NA,1.36632e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","1961",NA,"AGO",NA,NA,NA,5753024,NA,1.4214e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","1962",NA,"AGO",NA,NA,NA,5866061,NA,1.52652e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","1963",NA,"AGO",NA,NA,NA,5980417,NA,1.64327e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","1964",NA,"AGO",NA,NA,NA,6093321,NA,1.80034e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","1965",NA,"AGO",NA,NA,NA,6203299,NA,1.96124e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","1966",NA,"AGO",NA,NA,NA,6309770,NA,2.12789e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","1967",NA,"AGO",NA,NA,NA,6414995,NA,2.2641e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","1968",NA,"AGO",NA,NA,NA,6523791,NA,2.44277e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","1969",NA,"AGO",NA,NA,NA,6642632,NA,2.69039e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","1970",NA,"AGO",NA,NA,NA,6776381,28380.97656,2.9574e+12,NA,28380976560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","1971",NA,"AGO",NA,NA,NA,6927269,30342.71875,3.26649e+12,NA,30342718750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","1972",NA,"AGO",NA,NA,NA,7094834,29754.08008,3.76726e+12,NA,29754080080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","1973",NA,"AGO",NA,NA,NA,7277960,31922.14258,4.59079e+12,NA,31922142580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","1974",NA,"AGO",NA,NA,NA,7474338,32134.61914,5.29546e+12,NA,32134619140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","1975",NA,"AGO",NA,NA,NA,7682479,30249.02148,5.89667e+12,NA,30249021480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","1976",NA,"AGO",NA,NA,NA,7900997,29379.09375,6.41597e+12,NA,29379093750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","1977",1.37e+12,"AGO",NA,1.37e+12,NA,8130988,30599.28516,7.25697e+12,NA,30599285160,NA,NA,2.74e+12,NA,NA,NA,NA,NA,NA,NA
"135","1978",1.59e+12,"AGO",NA,1.59e+12,NA,8376147,27858.52734,8.54188e+12,NA,27858527340,NA,NA,3.18e+12,NA,NA,NA,NA,NA,NA,NA
"136","1979",2.02e+12,"AGO",NA,1.99e+12,NA,8641521,28026.09961,9.92464e+12,NA,28026099610,NA,NA,4.01e+12,NA,NA,NA,NA,NA,NA,NA
"137","1980",2.43e+12,"AGO",NA,2.41e+12,NA,8929900,29614.9043,1.11706e+13,NA,29614904300,NA,NA,4.84e+12,NA,NA,NA,NA,NA,NA,NA
"138","1981",2.42e+12,"AGO",NA,2.41e+12,NA,9244507,28956.35352,1.14632e+13,NA,28956353520,NA,NA,4.83e+12,NA,NA,NA,NA,NA,NA,NA
"139","1982",2.26e+12,"AGO",NA,2.27e+12,NA,9582156,27463.87109,1.13626e+13,NA,27463871090,NA,NA,4.53e+12,NA,NA,NA,NA,NA,NA,NA
