ccode,period,Year,rgdpo,hc,inv_share,Penn_GDP_PPP,Penn_GDP_PPP_log,pop_log,GDP_pc_growth,pop_growth,KOF_econ,KOF_defacto,KOF_dejure,KOF_trade,KOF_trade_df,KOF_trade_dj,KOF_finance,KOF_finance_df,KOF_finance_dj,inflation,Trade_to_GDP,EXP_to_GDP,IMP_to_GDP,population,Exports_USD_current,Exports_USD_constant,Imports_USD_current,Imports_USD_constant,CTS,Lietal,Alcala,KAOPEN,chinn_ito_normed,LMF_FDI_total_stocks_GDP,LMF_open,LMF_EQ,UNC_FDI_in_stock_GDP,UNC_FDI_out_stock_GDP,UNC_FDI_total_stocks_GDP,FTI_panel,FTI_original,FTI_reduced,Tariff_RES,Tariff_WITS,HF_econ,HF_fin,HF_trade,FTI_original_ipo,FTI_reduced_ipo,Tariff_WITS_ipo,LMF_open_pv,FIN_CUR,CAPITAL,first_year
ABW,"(2005,2010]",2008,4161.06533203125,,44.5657801628113,41.0774139674793,3.71392657742901,-2.28961935935223,-1.31388646438422,0.324845064373882,68.2867538452149,82.742805480957,,85.6915878295899,85.9036331176758,,55.4084342956543,79.5819778442383,19.2336971282959,3.57960100193695,142.296616866368,64.9086249479035,77.3879919184643,101307.6,1647709497.2067,1459217877.09497,1961787709.49721,1854189944.13408,32.1663011653956,0.811026398824021,2308073.93752456,-1.21001923084259,0.165725812315941,4883.6,336.4,7943.2,42350.134,6589.02,48939.154,,,,,,,,,,,,286.77077026,,,2006
ABW,"(2010,2015]",2013,3775.87001953125,,32.7051359415054,36.5882649923026,3.59790722521239,-2.27120905449262,-0.982563570215422,0.518839198741947,64.7321174621582,77.8344757080078,,79.9093307495117,78.5741546630859,,53.5884902954102,77.0948013305664,18.993726348877,0.693740192770163,149.049113677319,68.2194307573712,80.8296829199475,103176,1775530726.25698,,2101117318.43575,,42.7821255656002,1.61570820867666,1930569.35424999,-1.21001923084259,0.165725812315941,5605,392,8765,39435.334,6742.118,46177.452,,,,,90.20020266625,,,,,,90.188866832,315.5127869,,,2011
ABW,"(2015,2020]",2017.5,3122.8173828125,,30.6074291467667,29.7286430207095,3.39209950585381,-2.25338768801022,-8.32498517969638,0.440355066961939,62.7298240661621,74.6270980834961,,74.8488540649414,72.2281188964844,,53.7426528930664,77.0260734558106,18.7525177001953,0.737440474248661,145.259530730074,70.3252586985425,74.9342720315313,105361,1880446927.37431,,2003631284.9162,,,,,-1.21001923084259,0.165725812315941,,,,40133.3366666667,6753.04,46886.3766666667,,,,,89.79800611,,,,,,89.79800611,,,,2015.5
ADO,"(1965,1970]",1970,,,,,,,,,,,,,,,,85.2620162963867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966
ADO,"(1970,1975]",1973,,,,,,,,,,,,,,,,85.2620162963867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971
ADO,"(1975,1980]",1978,,,,,,,,,,,,,,,,85.222541809082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976
ADO,"(1980,1985]",1983,,,,,,,,,,,,,,,,84.8318939208984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981
ADO,"(1985,1990]",1988,,,,,,,,,,,,,,,,84.1809005737305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986
ADO,"(1990,1995]",1993,,,,,,,,,,,,,,,,82.888671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991
ADO,"(1995,2000]",1998,,,,,,,,,,,,,,,,81.3608062744141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996
